Time,tv_sponsorships,tv_cricket,tv_RON,radio,NPP,Magazines,OOH,Social,Programmatic,Display_Rest,Search,Native,sales
1/1/01,119.652,66.729,43.719,37.8,55.36,13.84,35,41.8782,5,33.50256,26.802048,5,22100
1/2/01,23.14,12.905,8.455,39.3,36.08,9.02,35,8.099,5,6.4792,5.18336,6,10400
1/3/01,8.944,4.988,3.268,45.9,55.44,13.86,35,3.1304,5,2.50432,2.003456,7,9300
1/4/01,78.78,43.935,28.785,41.3,46.8,11.7,35,27.573,5,22.0584,17.64672,5,18500
1/5/01,94.016,52.432,34.352,10.8,46.72,11.68,35,32.9056,5,26.32448,21.059584,7,12900
1/6/01,4.524,2.523,1.653,48.9,60,15,35,1.5834,5,1.26672,1.013376,8,7200
1/7/01,29.9,16.675,10.925,32.8,18.8,4.7,35,10.465,10,8.372,6.6976,9,11800
1/8/01,62.504,34.858,22.838,19.6,9.28,2.32,35,21.8764,10,17.50112,14.000896,5,13200
1/9/01,4.472,2.494,1.634,2.1,0.8,0.2,35,1.5652,10,1.25216,1.001728,5,4800
1/10/01,103.896,57.942,37.962,2.6,16.96,4.24,35,36.3636,10,29.09088,23.272704,5,10600
1/11/01,10,19.169,59.49,5.8,19.36,4.84,35,41.8782,10,33.50256,26.802048,5,8600
1/12/01,10,62.263,193.23,24,3.2,0.8,35,41.8782,10,33.50256,26.802048,5,17400
1/1/02,10,6.902,21.42,35.1,52.72,13.18,35,41.8782,10,33.50256,26.802048,5,9200
1/2/02,10,28.275,87.75,7.6,5.76,1.44,35,10,10,33.50256,26.802048,5,9700
1/3/02,10,59.189,183.69,32.9,36.8,9.2,35,10,10,33.50256,26.802048,5,19000
1/4/02,10,56.666,175.86,47.7,42.32,10.58,35,10,10,33.50256,26.802048,5,22400
1/5/02,10,19.662,61.02,36.6,91.2,22.8,35,10,10,33.50256,26.802048,5,12500
1/6/02,10,81.606,253.26,39.6,44.64,11.16,35,10,10,33.50256,26.802048,5,24400
1/7/02,10,20.068,62.28,20.5,14.64,3.66,35,10,10,33.50256,26.802048,5,11300
1/8/02,10,42.717,132.57,23.9,15.28,3.82,35,10,10,33.50256,26.802048,5,14600
1/9/02,10,63.336,196.56,27.7,42.72,10.68,35,10,10,33.50256,26.802048,5,18000
1/10/02,10,68.846,213.66,5.1,18.8,4.7,35,10,10,33.50256,26.802048,5,12500
1/11/02,10,3.828,11.88,15.9,39.68,9.92,35,10,10,1,26.802048,5,5600
1/12/02,10,66.207,205.47,16.9,20.96,5.24,35,10,10,1,26.802048,5,15500
1/1/03,10,18.067,56.07,12.6,14.64,3.66,35,10,10,1,26.802048,5,9700
1/2/03,10,76.241,236.61,3.5,15.6,3.9,35,10,10,1,26.802048,5,12000
1/3/03,10,71.45,128.61,29.3,10.08,2.52,40,10,10,1,26.802048,5,15000
1/4/03,10,120.05,216.09,16.7,18.32,4.58,40,10,10,1,26.802048,5,15900
